Begin Bates num from SYNTHETIC_PROD_001,Begin Bates num from SYNTHETIC_PROD_001,End Bates num from SYNTHETIC_PROD_001,Date,File Name,Email From,Email To,Email CC,Email BCC,Email Subject,Tag: Privilege - Redact,Tag: Privilege - Withhold,Tag: AC-WP,Tag: Attorney-Client,Tag: Synthetic Privacy,Tag: RFP 01 - Synthetic request category 01,Tag: RFP 02 - Synthetic request category 02,Tag: RFP 03 - Synthetic request category 03,Tag: RFP 04 - Synthetic request category 04
SYNREFEWPRV003-0000041,SYNREFEWPRV003-0000041,SYNREFEWPRV003-0000042,2025-11-11,synthetic_document_00010.pdf,sender011@example.test,recipient011@example.test,copy011@example.test,blind011@example.test,Synthetic subject 00010,,,,Yes,Yes,,,Yes,
SYNREFEWPRV003-0000045,SYNREFEWPRV003-0000045,SYNREFEWPRV003-0000047,2025-12-12,synthetic_document_00011.pdf,sender012@example.test,recipient012@example.test,copy012@example.test,blind001@example.test,Synthetic subject 00011,,,,,,,,,Yes
SYNREFEWPRV003-0000049,SYNREFEWPRV003-0000049,SYNREFEWPRV003-0000049,2025-01-13,synthetic_document_00012.pdf,sender013@example.test,recipient013@example.test,copy013@example.test,blind002@example.test,Synthetic subject 00012,Yes,,Yes,,,Yes,,,
SYNREFEWPRV003-0000053,SYNREFEWPRV003-0000053,SYNREFEWPRV003-0000054,2025-02-14,synthetic_document_00013.pdf,sender014@example.test,recipient014@example.test,copy014@example.test,blind003@example.test,Synthetic subject 00013,,Yes,,Yes,,,Yes,,
SYNREFEWPRV003-0000057,SYNREFEWPRV003-0000057,SYNREFEWPRV003-0000059,2025-03-15,synthetic_document_00014.pdf,sender015@example.test,recipient015@example.test,copy015@example.test,blind004@example.test,Synthetic subject 00014,,,,,,,,Yes,
SYNREFEWPRV003-0000061,SYNREFEWPRV003-0000061,SYNREFEWPRV003-0000061,2025-04-16,synthetic_document_00015.pdf,sender016@example.test,recipient016@example.test,copy016@example.test,blind005@example.test,Synthetic subject 00015,,,Yes,,Yes,,,,Yes
SYNREFEWPRV003-0000065,SYNREFEWPRV003-0000065,SYNREFEWPRV003-0000066,2025-05-17,synthetic_document_00016.pdf,sender017@example.test,recipient017@example.test,copy017@example.test,blind006@example.test,Synthetic subject 00016,Yes,,,Yes,,Yes,,,
SYNREFEWPRV003-0000069,SYNREFEWPRV003-0000069,SYNREFEWPRV003-0000071,2025-06-18,synthetic_document_00017.pdf,sender018@example.test,recipient018@example.test,copy018@example.test,blind007@example.test,Synthetic subject 00017,,Yes,,,,,Yes,,
SYNREFEWPRV003-0000073,SYNREFEWPRV003-0000073,SYNREFEWPRV003-0000073,2025-07-19,synthetic_document_00018.pdf,sender019@example.test,recipient019@example.test,copy019@example.test,blind008@example.test,Synthetic subject 00018,,,Yes,,,,,Yes,
SYNREFEWPRV003-0000077,SYNREFEWPRV003-0000077,SYNREFEWPRV003-0000078,2025-08-20,synthetic_document_00019.pdf,sender020@example.test,recipient020@example.test,copy001@example.test,blind009@example.test,Synthetic subject 00019,,,,Yes,,,,,Yes
